holiday,temp_F,rain_mm,snow_mm,cloud_cover_%,weather_type,date_time,traffic_volume
None,59.23,0.0,0.0,40,Clouds,2012-10-02 09:00:00,5545
None,61.18,0.0,0.0,75,Clouds,2012-10-02 10:00:00,4516
None,61.57,0.0,0.0,90,Clouds,2012-10-02 11:00:00,4767
None,62.56,0.0,0.0,90,Clouds,2012-10-02 12:00:00,5026
None,64.38,0.0,0.0,75,Clouds,2012-10-02 13:00:00,4918
None,65.43,0.0,0.0,1,Clear,2012-10-02 14:00:00,5181
None,68.04,0.0,0.0,1,Clear,2012-10-02 15:00:00,5584
None,69.28,0.0,0.0,1,Clear,2012-10-02 16:00:00,6015
None,69.78,0.0,0.0,20,Clouds,2012-10-02 17:00:00,5791
None,67.91,0.0,0.0,20,Clouds,2012-10-02 18:00:00,4770
None,64.08,0.0,0.0,20,Clouds,2012-10-02 19:00:00,3539
None,61.21,0.0,0.0,1,Clear,2012-10-02 20:00:00,2784
None,59.83,0.0,0.0,1,Clear,2012-10-02 21:00:00,2361
None,57.22,0.0,0.0,1,Clear,2012-10-02 22:00:00,1529
None,54.14,0.0,0.0,1,Clear,2012-10-02 23:00:00,963
None,52.66,0.0,0.0,1,Clear,2012-10-03 00:00:00,506
None,50.58,0.0,0.0,1,Clear,2012-10-03 01:00:00,321
None,46.45,0.0,0.0,1,Clear,2012-10-03 02:00:00,273
None,46.29,0.0,0.0,1,Clear,2012-10-03 03:00:00,367
None,43.48,0.0,0.0,1,Clear,2012-10-03 04:00:00,814
None,41.85,0.0,0.0,1,Clear,2012-10-03 05:00:00,2718
None,41.14,0.0,0.0,1,Clear,2012-10-03 06:00:00,5673
None,40.95,0.0,0.0,1,Clear,2012-10-03 08:00:00,6511
None,48.79,0.0,0.0,1,Clear,2012-10-03 09:00:00,5471
None,65.88,0.0,0.0,1,Clear,2012-10-03 12:00:00,5097
None,68.14,0.0,0.0,1,Clear,2012-10-03 13:00:00,4887
None,70.09,0.0,0.0,1,Clear,2012-10-03 14:00:00,5337
